ticker,cik,price_ticker,sec_ticker,sector,industry,name,notes
ABMD,,ABMD,ABMD,,,Abiomed,
ACE,,ACE,ACE,,,Chubb,
ADS,,ADS,ADS,,,Alliance Data Systems,
AET,,AET,AET,,,Aetna,
AGN,,AGN,AGN,,,Allergan,
ALTR,,ALTR,ALTR,,,Altera,
ALXN,,ALXN,ALXN,,,Alexion Pharmaceuticals,
ANDV,,ANDV,ANDV,,,Andeavor,
ANR,,ANR,ANR,,,Alpha Natural Resources,
ANSS,,ANSS,ANSS,,,Ansys,
APOL,,APOL,APOL,,,Apollo Education Group,
ARG,,ARG,ARG,,,Airgas,
ARNC,,ARNC,ARNC,,,Arconic,
ATVI,,ATVI,ATVI,,,Activision Blizzard,
AVP,,AVP,AVP,,,Avon Products,
BCR,,BCR,BCR,,,CR Bard,
BHI,,BHI,BHI,,,Baker Hughes,
BIG,,BIG,BIG,,,Big Lots,
BMC,,BMC,BMC,,,BMC Software,
BMS,,BMS,BMS,,,Bemis Company,
BRCM,,BRCM,BRCM,,,Broadcom Corporation,
BXLT,,BXLT,BXLT,,,Baxalta,
CA,,CA,CA,,,CA Technologies,
CAM,,CAM,CAM,,,Cameron International,
CBE,,CBE,CBE,,,Cooper Industries,
CCE,,CCE,CCE,,,Coca-Cola Enterprises,
CELG,,CELG,CELG,,,Celgene,
CERN,,CERN,CERN,,,Cerner,
CFN,,CFN,CFN,,,Carefusion,
CHK,,CHK,CHK,,,Chesapeake Energy,
CMA,,CMA,CMA,,,Comerica,
COL,,COL,COL,,,Rockwell Collins,
COV,,COV,COV,,,Covidien,
CPGX,,CPGX,CPGX,,,Columbia Pipeline Group,
CSC,,CSC,CSC,,,Computer Sciences Corporation,
CSRA,,CSRA,CSRA,,,CSRA,
CTLT,,CTLT,CTLT,,,Catalent,
CTRA,,CTRA,CTRA,,,Coterra Energy,
CTXS,,CTXS,CTXS,,,Citrix Systems,
CVC,,CVC,CVC,,,Cablevision Systems,
CVH,,CVH,CVH,,,Coventry Health Care,
CXO,,CXO,CXO,,,Concho Resources,
DAY,,DAY,DAY,,,Dayforce,
DF,,DF,DF,,,Dean Foods,
DFS,,DFS,DFS,,,Discover Financial,
DISCA,,DISCA,DISCA,,,"Discovery, Inc.",
DISCK,,DISCK,DISCK,,,"Discovery, Inc.",
DISH,,DISH,DISH,,,Dish Network,
DNB,,DNB,DNB,,,Dun & Bradstreet,
